"Parts Number","Production Status","Successor Model",Series,"Min. Category Temperature[deg.C]","Max. Category Temperature[deg.C]","Rated Voltage[Vdc]",Capacitance[μF],"Capacitance Tolerance Code","Dimensions ⌀D[mm]","Dimensions L[mm]","Dimensions T[mm]","Rated Ripple Current1[mArms]","Rated Ripple Current1(temp.)[deg.C]","Rated Ripple Current1(freq.)","Rated Ripple Current2[mArms]","Rated Ripple Current2(temp.)[deg.C]","Rated Ripple Current2(freq.)",ESR1[mOhm],ESR1(temp.)[deg.C],ESR1(freq.),ESR2[mOhm],ESR2(temp.)[deg.C],ESR2(freq.),Impedance1[Ohm],Impedance1(temp.)[deg.C],Impedance1(freq.),Impedance2[Ohm],Impedance2(temp.)[deg.C],Impedance2(freq.),"Dissipation Factor","Dissipation Factor(temp.)[deg.C]","Dissipation Factor(freq.)[Hz]","Leakage Current(1min.)[μA]","Leakage Current(2min.)[μA]","Leakage Current(3min.)[μA]","Leakage Current(5min.)[μA]","Leakage Current(temp.)[deg.C]",Endurance1(temp.)[deg.C],Endurance1[hrs.],Endurance1(load),Endurance2(temp.)[deg.C],Endurance2[hrs.],Endurance2(load),"Reference weight[g]",MOQ[pcs],"Temperature Characteristics, Case Code (inch/mm)",RoHS,AEC-Q200,URL(ja),URL(en),URL(zh),"Catalog PDF(ja)","Catalog PDF(en)","Catalog PDF(zh)"
EAVH250ELL332MM40S,"In Production",,AVH,-40,85,25,3300,M,18,40,,,,,,,,,,,,,,,,,,,,0.18,20,120,2470,825,,,20,85,1000,DC,,,,16,250,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH250ELL332MM40S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH250ELL332MM40S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH250ELL332MM40S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH350ELL101MJC5S,"In Production",,AVH,-40,85,35,100,M,10,12.5,,,,,,,,,,,,,,,,,,,,0.12,20,120,105,35,,,20,85,1000,DC,,,,1.8,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH350ELL101MJC5S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH350ELL101MJC5S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH350ELL101MJC5S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH350ELL221MJ20S,"In Production",,AVH,-40,85,35,220,M,10,20,,,,,,,,,,,,,,,,,,,,0.12,20,120,231,77,,,20,85,1000,DC,,,,2.5,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH350ELL221MJ20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH350ELL221MJ20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH350ELL221MJ20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH350ELL471MK25S,"In Production",,AVH,-40,85,35,470,M,12.5,25,,,,,,,,,,,,,,,,,,,,0.12,20,120,493,164,,,20,85,1000,DC,,,,4.7,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH350ELL471MK25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH350ELL471MK25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH350ELL471MK25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH350ELL102ML25S,"In Production",,AVH,-40,85,35,1000,M,16,25,,,,,,,,,,,,,,,,,,,,0.12,20,120,1050,350,,,20,85,1000,DC,,,,8.6,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH350ELL102ML25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH350ELL102ML25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH350ELL102ML25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH350ELL222MMP1S,"In Production",,AVH,-40,85,35,2200,M,18,35.5,,,,,,,,,,,,,,,,,,,,0.14,20,120,2310,770,,,20,85,1000,DC,,,,15,250,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH350ELL222MMP1S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH350ELL222MMP1S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH350ELL222MMP1S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH500ELL101MJ16S,"In Production",,AVH,-40,85,50,100,M,10,16,,,,,,,,,,,,,,,,,,,,0.1,20,120,150,50,,,20,85,1000,DC,,,,2.2,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH500ELL101MJ16S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH500ELL101MJ16S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH500ELL101MJ16S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH500ELL221MK20S,"In Production",,AVH,-40,85,50,220,M,12.5,20,,,,,,,,,,,,,,,,,,,,0.1,20,120,330,110,,,20,85,1000,DC,,,,4,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH500ELL221MK20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH500ELL221MK20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH500ELL221MK20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH500ELL331MK20S,"In Production",,AVH,-40,85,50,330,M,12.5,20,,,,,,,,,,,,,,,,,,,,0.1,20,120,495,165,,,20,85,1000,DC,,,,4,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH500ELL331MK20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH500ELL331MK20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH500ELL331MK20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH500ELL471ML25S,"In Production",,AVH,-40,85,50,470,M,16,25,,,,,,,,,,,,,,,,,,,,0.1,20,120,705,235,,,20,85,1000,DC,,,,8.6,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH500ELL471ML25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH500ELL471ML25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH500ELL471ML25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH500ELL102MLN3S,"In Production",,AVH,-40,85,50,1000,M,16,31.5,,,,,,,,,,,,,,,,,,,,0.1,20,120,1500,500,,,20,85,1000,DC,,,,10,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH500ELL102MLN3S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH500ELL102MLN3S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH500ELL102MLN3S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH630ELL470MJC5S,"In Production",,AVH,-40,85,63,47,M,10,12.5,,,,,,,,,,,,,,,,,,,,0.09,20,120,88.8,29.6,,,20,85,1000,DC,,,,1.8,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH630ELL470MJC5S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH630ELL470MJC5S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH630ELL470MJC5S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH630ELL101MJ20S,"In Production",,AVH,-40,85,63,100,M,10,20,,,,,,,,,,,,,,,,,,,,0.09,20,120,189,63,,,20,85,1000,DC,,,,2.5,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH630ELL101MJ20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH630ELL101MJ20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH630ELL101MJ20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH630ELL221MK20S,"In Production",,AVH,-40,85,63,220,M,12.5,20,,,,,,,,,,,,,,,,,,,,0.09,20,120,415,138,,,20,85,1000,DC,,,,4,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH630ELL221MK20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH630ELL221MK20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH630ELL221MK20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH630ELL331MK25S,"In Production",,AVH,-40,85,63,330,M,12.5,25,,,,,,,,,,,,,,,,,,,,0.09,20,120,623,207,,,20,85,1000,DC,,,,4.7,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH630ELL331MK25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH630ELL331MK25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH630ELL331MK25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH630ELL471ML25S,"In Production",,AVH,-40,85,63,470,M,16,25,,,,,,,,,,,,,,,,,,,,0.09,20,120,888,296,,,20,85,1000,DC,,,,8.6,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH630ELL471ML25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH630ELL471ML25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH630ELL471ML25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH630ELL102MMP1S,"In Production",,AVH,-40,85,63,1000,M,18,35.5,,,,,,,,,,,,,,,,,,,,0.09,20,120,1890,630,,,20,85,1000,DC,,,,15,250,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH630ELL102MMP1S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH630ELL102MMP1S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH630ELL102MMP1S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH800ELL470MJ16S,"In Production",,AVH,-40,85,80,47,M,10,16,,,,,,,,,,,,,,,,,,,,0.08,20,120,112,37.6,,,20,85,1000,DC,,,,2.2,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH800ELL470MJ16S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH800ELL470MJ16S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH800ELL470MJ16S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH800ELL221MK25S,"In Production",,AVH,-40,85,80,220,M,12.5,25,,,,,,,,,,,,,,,,,,,,0.08,20,120,528,176,,,20,85,1000,DC,,,,4.7,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH800ELL221MK25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH800ELL221MK25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH800ELL221MK25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH800ELL331MLN3S,"In Production",,AVH,-40,85,80,330,M,16,31.5,,,,,,,,,,,,,,,,,,,,0.08,20,120,792,264,,,20,85,1000,DC,,,,10,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH800ELL331MLN3S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH800ELL331MLN3S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH800ELL331MLN3S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH800ELL471MLP1S,"In Production",,AVH,-40,85,80,470,M,16,35.5,,,,,,,,,,,,,,,,,,,,0.08,20,120,1120,376,,,20,85,1000,DC,,,,11,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH800ELL471MLP1S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH800ELL471MLP1S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH800ELL471MLP1S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH101ELL220MJC5S,"In Production",,AVH,-40,85,100,22,M,10,12.5,,,,,,,,,,,,,,,,,,,,0.07,20,120,66,22,,,20,85,1000,DC,,,,1.8,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH101ELL220MJC5S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH101ELL220MJC5S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH101ELL220MJC5S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH101ELL330MJ16S,"In Production",,AVH,-40,85,100,33,M,10,16,,,,,,,,,,,,,,,,,,,,0.07,20,120,99,33,,,20,85,1000,DC,,,,2.2,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH101ELL330MJ16S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH101ELL330MJ16S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH101ELL330MJ16S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH101ELL470MJ20S,"In Production",,AVH,-40,85,100,47,M,10,20,,,,,,,,,,,,,,,,,,,,0.07,20,120,141,47,,,20,85,1000,DC,,,,2.5,2000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH101ELL470MJ20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH101ELL470MJ20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH101ELL470MJ20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH101ELL101MK20S,"In Production",,AVH,-40,85,100,100,M,12.5,20,,,,,,,,,,,,,,,,,,,,0.07,20,120,300,100,,,20,85,1000,DC,,,,4,1000,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH101ELL101MK20S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH101ELL101MK20S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH101ELL101MK20S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH101ELL221ML25S,"In Production",,AVH,-40,85,100,220,M,16,25,,,,,,,,,,,,,,,,,,,,0.07,20,120,660,220,,,20,85,1000,DC,,,,8.6,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH101ELL221ML25S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH101ELL221ML25S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH101ELL221ML25S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH101ELL331MLN3S,"In Production",,AVH,-40,85,100,330,M,16,31.5,,,,,,,,,,,,,,,,,,,,0.07,20,120,990,330,,,20,85,1000,DC,,,,10,500,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH101ELL331MLN3S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH101ELL331MLN3S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH101ELL331MLN3S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
EAVH101ELL471MMP1S,"In Production",,AVH,-40,85,100,470,M,18,35.5,,,,,,,,,,,,,,,,,,,,0.07,20,120,1410,470,,,20,85,1000,DC,,,,15,250,,Compliant,,https://www.chemi-con.co.jp/products/detail-condenser.php?part_number=EAVH101ELL471MMP1S,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=EAVH101ELL471MMP1S,https://www.chemi-con.co.jp/cn/products/detail-condenser.php?part_number=EAVH101ELL471MMP1S,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-j.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-e.PDF,https://www.chemi-con.co.jp/products/relatedfiles/capacitor/catalog/AVHLL-c.PDF
