Part Number,Description,Symbol,Footprint,Manufacturer Part Description,Manufacturer Name,Manufacturer Part Number,Value,Tolerance,Component Type,Rated Voltage,Series
CAPT2_WIMA_0500P_1D,CAP FILM 390pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D003901D00HSSD,3.9E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 120pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D001201D00HSSD,1.2E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 5n6 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C015601D00HSSD,5.6E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_1000P_3C,CAP FILM 47nF 5.0% 400VDC RAD,cap,CAPT2_WIMA_1000P_3C,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4G024703C00JSSD,0.000000047,0.05,Capacitor,400,MKP4
CAPT2_WIMA_0500P_1D,CAP FILM 5n1 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C015101D00HSSD,5.1E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1A,CAP FILM 47pF 5.0% 400VDC RAD,cap,CAPT2_WIMA_0500P_1A,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2G000471A00JSSD,4.7E-11,0.05,Capacitor,400,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 620pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D006201D00HSP4,6.2E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 3n6 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C013601D00HSSD,3.6E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1A,CAP FILM 120pF 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1A,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C001201A00HSSD,1.2E-10,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 2n4 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D012401D00HSSD,2.4E-09,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0250P_0B,CAP FILM 1n5 5.0% 100VDC RAD,cap,CAPT2_WIMA_0250P_0B,FKP02 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP0D011500B00JSSD,1.5E-09,0.05,Capacitor,100,FKP0
CAPT2_WIMA_0500P_1D,CAP FILM 1n8 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D011801D00HSSD,1.8E-09,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1G,CAP FILM 7n5 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1G,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C017501G00HSSD,7.5E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 1n2 2.5% 630VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2J011201D00HSSD,1.2E-09,0.025,Capacitor,630,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 470pF 5.0% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D004701D00JSSD,4.7E-10,0.05,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 39pF 2.5% 630VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2J000391D00HSSD,3.9E-11,0.025,Capacitor,630,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 1nF 5.0% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D011001D00JSSD,0.000000001,0.05,Capacitor,100,FKP2
CAPT2_WIMA_0250P_0C,CAP FILM 2n2 5.0% 63VDC RAD,cap,CAPT2_WIMA_0250P_0C,FKP02 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP0C012200C00JSSD,2.2E-09,0.05,Capacitor,63,FKP0
CAPT2_WIMA_0500P_1D,CAP FILM 1n5 5.0% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D011501D00JSSD,1.5E-09,0.05,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 3n3 5.0% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C013301D00JSSD,3.3E-09,0.05,Capacitor,63,FKP2
CAPT2_WIMA_0750P_2D,CAP FILM 33nF 10.0% 400VDC RAD,cap,CAPT2_WIMA_0750P_2D,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4G023302D00KSSD,0.000000033,0.1,Capacitor,400,MKP4
CAPT2_WIMA_0500P_1D,CAP FILM 220pF 2.5% 630VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2J002201D00HSSD,2.2E-10,0.025,Capacitor,630,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 220pF 2.5% 400VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2G002201D00HSSD,2.2E-10,0.025,Capacitor,400,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 470pF 2.5% 630VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2J004701D00HSSD,4.7E-10,0.025,Capacitor,630,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 47pF 5.0% 1000VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2O100471D00JSSD,4.7E-11,0.05,Capacitor,1000,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 330pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D003301D00HSSD,3.3E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 33pF 5.0% 1000VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2O100331D00JSSD,3.3E-11,0.05,Capacitor,1000,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 470pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D004701D00HSSD,4.7E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0750P_2D,CAP FILM 22nF 10.0% 400VDC RAD,cap,CAPT2_WIMA_0750P_2D,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4G022202D00KSSD,0.000000022,0.1,Capacitor,400,MKP4
CAPT2_WIMA_0500P_1D,CAP FILM 6n8 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C016801D00HSSD,6.8E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 2n2 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C012201D00HSSD,2.2E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 680pF 2.5% 400VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2G006801D00HSSD,6.8E-10,0.025,Capacitor,400,FKP2
CAPT2_WIMA_1000P_3C,CAP FILM 47nF 10.0% 250VDC RAD,cap,CAPT2_WIMA_1000P_3C,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4F024703C00KSSD,0.000000047,0.1,Capacitor,250,MKP4
CAPT2_WIMA_0500P_1D,CAP FILM 820pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D008201D00HSSD,8.2E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 1n5 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D011501D00HSSD,1.5E-09,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 100pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D001001D00HSSD,1E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 220pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D002201D00HSSD,2.2E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1I,CAP FILM 10nF 5.0% 100VDC RAD,cap,CAPT2_WIMA_0500P_1I,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D021001I00JSSD,0.00000001,0.05,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 680pF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D006801D00HSSD,6.8E-10,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 1nF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D011001D00HSSD,0.000000001,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 4n7 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C014701D00HSSD,4.7E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0250P_0E,CAP FILM 4n7 5.0% 63VDC RAD,cap,CAPT2_WIMA_0250P_0E,FKP02 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP0C014700E00JSSD,4.7E-09,0.05,Capacitor,63,FKP0
CAPT2_WIMA_0750P_2C,CAP FILM 15nF 10.0% 630VDC RAD,cap,CAPT2_WIMA_0750P_2C,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4J021502C00KSSD,0.000000015,0.1,Capacitor,630,MKP4
CAPT2_WIMA_0750P_2B,CAP FILM 4n7 5.0% 100VDC RAD,cap,CAPT2_WIMA_0750P_2B,FKP3 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP3D014702B00JSSD,4.7E-09,0.05,Capacitor,100,FKP3
CAPT2_WIMA_0750P_2B,CAP FILM 15nF 5.0% 250VDC RAD,cap,CAPT2_WIMA_0750P_2B,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4F021502B00JSSD,0.000000015,0.05,Capacitor,250,MKP4
CAPT2_WIMA_0500P_1D,CAP FILM 3n3 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C013301D00HSSD,3.3E-09,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1G,CAP FILM 10nF 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1G,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C021001G00HSSD,0.00000001,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 2n2 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D012201D00HSSD,2.2E-09,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1J,CAP FILM 18nF 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1J,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C021801J00HSSD,0.000000018,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0750P_2B,CAP FILM 330pF 5.0% 630VDC RAD,cap,CAPT2_WIMA_0750P_2B,FKP3 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP3J003302B00JSSD,3.3E-10,0.05,Capacitor,630,FKP3
CAPT2_WIMA_0500P_1D,CAP FILM 2n7 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D012701D00HSSD,2.7E-09,0.025,Capacitor,100,FKP2
CAPT2_WIMA_0750P_2B,CAP FILM 100pF 5.0% 630VDC RAD,cap,CAPT2_WIMA_0750P_2B,FKP3 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP3J001002B00JSSD,1E-10,0.05,Capacitor,630,FKP3
CAPT2_WIMA_0750P_2B,CAP FILM 33nF 5.0% 250VDC RAD,cap,CAPT2_WIMA_0750P_2B,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4F023302B00JSSD,0.000000033,0.05,Capacitor,250,MKP4
CAPT2_WIMA_0500P_1I,CAP FILM 4n7 2.5% 630VDC RAD,cap,CAPT2_WIMA_0500P_1I,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2J014701I00HSSD,4.7E-09,0.025,Capacitor,630,FKP2
CAPT2_WIMA_0250P_0B,CAP FILM 220pF 2.5% 250VDC RAD,cap,CAPT2_WIMA_0250P_0B,FKP02 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP0F002200B00HSSD,2.2E-10,0.025,Capacitor,250,FKP0
CAPT2_WIMA_1000P_3F,CAP FILM 47nF 10.0% 630VDC RAD,cap,CAPT2_WIMA_1000P_3F,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4J024703F00KSSD,0.000000047,0.1,Capacitor,630,MKP4
CAPT2_WIMA_0500P_1I,CAP FILM 15nF 2.5% 63VDC RAD,cap,CAPT2_WIMA_0500P_1I,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C021501I00HSSD,0.000000015,0.025,Capacitor,63,FKP2
CAPT2_WIMA_0750P_2E,CAP FILM 33nF 10.0% 630VDC RAD,cap,CAPT2_WIMA_0750P_2E,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4J023302E00KSSD,0.000000033,0.1,Capacitor,630,MKP4
CAPT2_WIMA_0750P_2B,CAP FILM 10nF 10.0% 400VDC RAD,cap,CAPT2_WIMA_0750P_2B,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4G021002B00KSSD,0.00000001,0.1,Capacitor,400,MKP4
CAPT2_WIMA_1500P_4B,CAP FILM 100nF 5.0% 400VDC RAD,cap,CAPT2_WIMA_1500P_4B,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4G031004B00JSSD,0.0000001,0.05,Capacitor,400,MKP4
CAPT2_WIMA_0500P_1J,CAP FILM 6n8 2.5% 400VDC RAD,cap,CAPT2_WIMA_0500P_1J,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2G016801J00HSSD,6.8E-09,0.025,Capacitor,400,FKP2
CAPT2_WIMA_1000P_3D,CAP FILM 2n2 5.0% 630VDC RAD,cap,CAPT2_WIMA_1000P_3D,FKP3 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP3J012203D00JSSD,2.2E-09,0.05,Capacitor,630,FKP3
CAPT2_WIMA_1500P_4C,CAP FILM 33nF 10.0% 1000VDC RAD,cap,CAPT2_WIMA_1500P_4C,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4O123304C00KSSD,0.000000033,0.1,Capacitor,1000,MKP4
CAPT2_WIMA_1500P_4D,CAP FILM 100nF 10.0% 630VDC RAD,cap,CAPT2_WIMA_1500P_4D,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4J031004D00KSSD,0.0000001,0.1,Capacitor,630,MKP4
CAPT2_WIMA_0500P_1J,CAP FILM 15nF 2.5% 100VDC RAD,cap,CAPT2_WIMA_0500P_1J,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D021501J00HSSD,0.000000015,0.025,Capacitor,100,FKP2
CAPT2_WIMA_1000P_3G,CAP FILM 220nF 5.0% 250VDC RAD,cap,CAPT2_WIMA_1000P_3G,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4F032203G00JSSD,0.00000022,0.05,Capacitor,250,MKP4
CAPT2_WIMA_1000P_3G,CAP FILM 15nF 5.0% 250VDC RAD,cap,CAPT2_WIMA_1000P_3G,FKP3 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP3F021503G00JSSD,0.000000015,0.05,Capacitor,250,FKP3
CAPT2_WIMA_1500P_4D,CAP FILM 470nF 5.0% 250VDC RAD,cap,CAPT2_WIMA_1500P_4D,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4F034704D00JSSD,0.00000047,0.05,Capacitor,250,MKP4
CAPT2_WIMA_0250P_0F,CAP FILM 10nF 2.5% 63VDC RAD,cap,CAPT2_WIMA_0250P_0F,FKP02 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP0C021000F00HSSD,0.00000001,0.025,Capacitor,63,FKP0
CAPT2_WIMA_2250P_5D,CAP FILM 100nF 10.0% 1000VDC RAD,cap,CAPT2_WIMA_2250P_5D,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4O131005D00KSSD,0.0000001,0.1,Capacitor,1000,MKP4
CAPT2_WIMA_1500P_4C,CAP FILM 10nF 5.0% 630VDC RAD,cap,CAPT2_WIMA_1500P_4C,FKP3 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP3J021004C00JSSD,0.00000001,0.05,Capacitor,630,FKP3
CAPT2_WIMA_2250P_5B,CAP FILM 330nF 10.0% 400VDC RAD,cap,CAPT2_WIMA_2250P_5B,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4G033305B00KSSD,0.00000033,0.1,Capacitor,400,MKP4
CAPT2_WIMA_1000P_3G,CAP FILM 33nF 5.0% 100VDC RAD,cap,CAPT2_WIMA_1000P_3G,FKP3 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP3D023303G00JSSD,0.000000033,0.05,Capacitor,100,FKP3
CAPT2_WIMA_2250P_5B,CAP FILM 680nF 10.0% 250VDC RAD,cap,CAPT2_WIMA_2250P_5B,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4F036805B00KSSD,0.00000068,0.1,Capacitor,250,MKP4
CAPT2_WIMA_2250P_5F,CAP FILM 680nF 5.0% 400VDC RAD,cap,CAPT2_WIMA_2250P_5F,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4G036805F00JSSD,0.00000068,0.05,Capacitor,400,MKP4
CAPT2_WIMA_2250P_5D,CAP FILM 1uF 20.0% 250VDC RAD,cap,CAPT2_WIMA_2250P_5D,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4F041005D00MSSD,0.000001,0.2,Capacitor,250,MKP4
CAPT2_WIMA_2250P_5D,CAP FILM 1uF 5.0% 100VDC RAD,cap,CAPT2_WIMA_2250P_5D,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4D041005D00JSSD,0.000001,0.05,Capacitor,100,MKP4
CAPT2_WIMA_2250P_5D,CAP FILM 1uF 5.0% 250VDC RAD,cap,CAPT2_WIMA_2250P_5D,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4F041005D00JSSD,0.000001,0.05,Capacitor,250,MKP4
CAPT2_WIMA_0500P_1D,CAP FILM 100pF 1.0% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D001001D00ESSD,1E-10,0.01,Capacitor,100,FKP2
CAPT2_WIMA_1500P_4J,CAP FILM 220nF 10.0% 63VDC RAD,cap,CAPT2_WIMA_1500P_4J,FKP3 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP3C032204J00KSSD,0.00000022,0.1,Capacitor,63,FKP3
CAPT2_WIMA_0500P_1D,CAP FILM 470pF 1.0% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D004701D00ESSD,4.7E-10,0.01,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 330pF 1.0% 630VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2J003301D00ESSD,3.3E-10,0.01,Capacitor,630,FKP2
CAPT2_WIMA_2750P_6B,CAP FILM 1u5 5.0% 400VDC RAD,cap,CAPT2_WIMA_2750P_6B,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4G041506B00JSSD,0.0000015,0.05,Capacitor,400,MKP4
CAPT2_WIMA_0500P_1D,CAP FILM 4n7 1.0% 63VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2C014701D00ESSD,4.7E-09,0.01,Capacitor,63,FKP2
CAPT2_WIMA_0500P_1J,CAP FILM 15nF 1.0% 100VDC RAD,cap,CAPT2_WIMA_0500P_1J,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D021501J00ESSD,0.000000015,0.01,Capacitor,100,FKP2
CAPT2_WIMA_0500P_1D,CAP FILM 2n2 1.0% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D012201D00ESSD,2.2E-09,0.01,Capacitor,100,FKP2
CAPT2_WIMA_2750P_6B,CAP FILM 680nF 10.0% 630VDC RAD,cap,CAPT2_WIMA_2750P_6B,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4J036806B00KSSD,0.00000068,0.1,Capacitor,630,MKP4
CAPT2_WIMA_2250P_5I,CAP FILM 2u2 10.0% 250VDC RAD,cap,CAPT2_WIMA_2250P_5I,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4F042205I00KSSD,0.0000022,0.1,Capacitor,250,MKP4
CAPT2_WIMA_0500P_1D,CAP FILM 1nF 1.0% 100VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2D011001D00ESSD,0.000000001,0.01,Capacitor,100,FKP2
CAPT2_WIMA_3750P_7D,CAP FILM 1u5 10.0% 630VDC RAD,cap,CAPT2_WIMA_3750P_7D,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4J041507D00KSSD,0.0000015,0.1,Capacitor,630,MKP4
CAPT2_WIMA_3750P_7E,CAP FILM 2u2 10.0% 630VDC RAD,cap,CAPT2_WIMA_3750P_7E,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4J042207E00KSSD,0.0000022,0.1,Capacitor,630,MKP4
CAPT2_WIMA_3750P_7F,CAP FILM 10uF 10.0% 250VDC RAD,cap,CAPT2_WIMA_3750P_7F,MKP4 Metallized Polypropylene (PP) Capacitors,WIMA,MKP4F051007F00KSSD,0.00001,0.1,Capacitor,250,MKP4
CAPT2_WIMA_0500P_1D,CAP FILM 1n2 2.5% 630VDC RAD,cap,CAPT2_WIMA_0500P_1D,FKP2 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP2J011201D00HI00,1.2E-09,0.025,Capacitor,630,FKP2
CAPT2_WIMA_1000P_3A,CAP FILM 2n2 10.0% 400VDC RAD,cap,CAPT2_WIMA_1000P_3A,FKP3 Polypropylene (PP) Film and Foil Capacitors for Pulse Applications,WIMA,FKP3G012203A00KSSD,2.2E-09,0.1,Capacitor,400,FKP3
